year,month,fleet,sex,part,ageerr,Lbin_lo,Lbin_hi,Nsamp,a0,a1,a2,a3
2004,6,6,0,0,1,-1,-1,100,0,0.9349996,0.060460322,0.0045400822
2006,6,6,0,0,1,-1,-1,100,0,0.98694617,0.013017147,3.6687856e-05
2007,7,6,0,0,1,-1,-1,100,0,0.90421103,0.093087528,0.0027014443
2009,7,6,0,0,1,-1,-1,100,0,0.7724716,0.18170853,0.045819879
2010,7,6,0,0,1,-1,-1,100,0.19371887,0.71849738,0.084072105,0.0037116485
2013,8,6,0,0,1,-1,-1,100,0.29282079,0.65185949,0.055319725,0
2014,7,6,0,0,1,-1,-1,100,0.026897692,0.95476043,0.018341878,0
2015,7,6,0,0,1,-1,-1,100,0.60116492,0.3938048,0.0050302743,0
2016,7,6,0,0,1,-1,-1,100,0.45209619,0.45174339,0.096160418,0
2017,7,6,0,0,1,-1,-1,100,0.67079816,0.30493616,0.024265672,0
2018,7,6,0,0,1,-1,-1,100,0.45966017,0.52535955,0.014980281,0
2019,7,6,0,0,1,-1,-1,100,0.42304817,0.55257963,0.024372196,0
2020,8,6,0,0,1,-1,-1,100,0.73599516,0.25729114,0.0067136967,0
2023,7,6,0,0,1,-1,-1,100,0.76976911,0.22439871,0.0058321848,0
