"year","Rec_low","Rec","Rec_high","SSB_low","SSB","SSB_high","Landings","Discards","F_low","F","F_upp"
1989,4498668.535,6587650,8934650.403,10579.623,15479.8,21481.317,5354.25,NA,0.358,0.559,0.904
1990,6679928.136,9827390,13371903.81,6762.555,10607.5,15495.664,5819.064,NA,0.563,0.975,1.753
1991,5173515.574,8125070,11558550.764,10930.37,16791.2,24160.109,5717.343,NA,0.355,0.579,0.978
1992,3578838.253,5667520,8107130.803,9302.263,15098.9,22601.971,2996.705,NA,0.167,0.276,0.464
1993,4296066.568,6671370,9419258.303,7596.493,12180.7,18076.667,1959.951,NA,0.145,0.234,0.387
1994,4499369.376,7168470,10295210.932,7961.358,12445.1,18135.028,3035.457,NA,0.226,0.36,0.585
1995,7659867.032,11475800,15812463.305,9063.893,14314.6,21014.045,570.614,NA,0.045,0.077,0.135
1996,6608916.602,9492150,12699889.085,13021.489,19079.9,26505.736,1831.41,NA,0.121,0.195,0.321
1997,8669820.561,11414100,14332740.328,13346.977,18906.2,25595.186,4613.213,NA,0.318,0.494,0.779
1998,6044787.713,8263350,10669758.681,13164.528,17565.2,22686.635,9582.3,NA,0.908,1.543,2.683
1999,5412868.722,7963360,10835603.622,9618.212,13733.4,18706.647,5940.549,NA,0.552,0.902,1.511
2000,9225532.142,11976400,14880425.617,9495.469,14123.9,19843.368,2353.442,NA,0.207,0.336,0.558
2001,6698032.395,8495700,10370140.917,18393.984,23959.9,30349.856,8636.66,NA,0.585,0.894,1.392
2002,3674735.388,4910000,6233996.307,11490.069,14804.4,18585.814,8244.263,NA,0.851,1.315,2.06
2003,4780848.798,6282940,7878968.939,6435.783,8862.81,11737.796,4947.81,NA,0.717,1.134,1.817
2004,4406728.605,5777520,7232211.884,7589.33,10506.7,13972.696,5581.188,NA,0.726,1.191,1.986
2005,8123262.823,10916600,13919623.162,6270.852,8737.65,11678.867,4440.82,NA,0.522,0.779,1.187
2006,8904056.938,11904600,15121731.325,13096.974,18020.9,23850.913,4389.091,NA,0.246,0.351,0.505
2007,4437106.819,6130410,7977216.998,16064.163,21686.6,28273.144,5616.245,NA,0.311,0.465,0.703
2008,4878771.372,6539060,8321507.116,11174.191,15259.7,20076.702,3219.627,NA,0.293,0.459,0.725
2009,2596531.786,3478680,4425523.839,9912.224,13332.1,17330.088,2954.921,NA,0.285,0.424,0.637
2010,4823765.891,6232750,7716477.053,5348.076,7076.14,9077.717,2927.429,NA,0.545,0.819,1.248
2011,4704446.994,6432530,8307150.144,6815.393,9163.52,11908.032,6291.31,NA,0.919,1.502,2.503
2012,4833978.345,6297420,7845212.232,7142.871,10393.5,14362.734,4838.213,NA,0.506,0.809,1.317
2013,8402650.058,10335800,12318496.302,9060.996,12085.6,15604.878,5231.458,NA,0.588,0.909,1.428
2014,5490673.428,6979390,8533482.837,12486.235,15843.3,19639.992,9046.235,NA,0.795,1.195,1.815
2015,8631847.864,10932100,13328663.12,7907.792,10428.5,13342.735,6950.09,NA,0.864,1.357,2.17
2016,4885551.581,6285870,7757152.511,11121.342,14594.4,18598.478,6741.818,NA,0.616,0.973,1.568
2017,7381465.995,9747510,12267912.358,7750.442,10410,13516.716,4610.868,NA,0.489,0.728,1.096
2018,6757484.226,8775480,10906222.479,12391.929,16460,21182.339,4498.814,NA,0.338,0.505,0.766
2019,8874891.403,11295200,13823471.406,12434.516,16137.2,20379.108,4813.581,NA,0.42,0.641,0.99
2020,7289285.897,9317410,11440901.485,14917.866,19216,24119.141,7317.35,NA,0.532,0.81,1.248
2021,5398786.09,6832240,8325099.686,14054.134,18174.4,22885.151,7561.601,NA,0.646,0.98,1.514
2022,5942791.288,7059840,8183965.368,9978.28,12825.8,16070.175,6615.111,NA,0.856,1.314,2.042
2023,5938323.486,7313180,8724178.845,8734.406,10633.2,12729.761,7469.53,NA,1.146,1.705,2.55
2024,5716932.644,8667340,12040278.902,8463.585,10815.8,13486.936,8291.05,NA,1.134,1.787,2.84
2025,6903689.384,8128610,9355263.249,8617.379,13026.1,18521.582,NA,NA,NA,NA,NA
